"TOA5","CR1000","CR1000","70405","CR1000.Std.27.04","CPU:Piranometro-UVA-UVB-WS400WS200 CR1000.CR1","45947","AWS"
"TIMESTAMP","RECORD","BattV","AirTemperature","RelHumidity","DewPoint","AbsAirPressure","RelAirPressure","PrecipitationType","PrecipitationIntensity","PrecipDifference","PrecipAbsolute","WindDirectionAct","WindSpeedAct","WindQuality"
"TS","RN","Volts","C","%","C","hPa","hPa","","mmh","mm","mm","degree","m/s","%"
"","","Min","Avg","Avg","Avg","Avg","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-05-13 11:30:00",0,10.25,21.41,60.8,13.55,978,978,0,0,0,0,72.46,1.139,100
"2023-05-13 11:40:00",1,9.65,21.78,58.58,13.3,978,978,0,0,0,0,167.7,1.931,100
"2023-05-13 11:50:00",2,9.65,22.08,57.75,13.4,978,978,0,0,0,0,108.2,1.977,100
"2023-05-13 12:00:00",3,9.65,22.61,56.05,13.4,978,978,0,0,0,0,79.33,1.792,100
"2023-05-13 12:10:00",4,9.66,23.19,54.07,13.35,978,978,0,0,0,0,61.24,2.421,100
"2023-05-13 12:20:00",5,9.65,23.52,52.4,13.17,978,978,0,0,0,0,33.91,2.966,100
"2023-05-13 12:30:00",6,9.66,23.68,52.28,13.34,978,978,0,0,0,0,133.9,2.552,100
"2023-05-13 12:40:00",7,9.65,24.06,50.44,13.14,978,978,0,0,0,0,43.5,2.302,100
"2023-05-13 12:50:00",8,9.65,24.33,49.75,13.17,978,978,0,0,0,0,99.1,2.446,100
"2023-05-13 13:00:00",9,9.65,24.58,48.77,13.07,977,977,0,0,0,0,45.26,2.383,100
"2023-05-13 13:10:00",10,9.65,24.72,47.84,12.92,977,977,0,0,0,0,50.41,2.458,100
"2023-05-13 13:20:00",11,9.65,24.85,46.58,12.61,977,977,0,0,0,0,159.9,3.062,100
"2023-05-13 13:30:00",12,9.65,25.17,45.39,12.49,977,977,0,0,0,0,98.3,2.599,100
"2023-05-13 13:40:00",13,10.25,25.47,44.24,12.39,977,977,0,0,0,0,51.45,2.853,100
"2023-05-13 13:50:00",14,9.66,25.57,43.47,12.23,976,976,0,0,0,0,142.5,3.093,100
"2023-05-13 14:00:00",15,10.25,25.78,42.8,12.2,976,976,0,0,0,0,56.91,3.248,100
"2023-05-13 14:10:00",16,9.65,25.75,42.93,12.22,976,976,0,0,0,0,44.96,3.859,100
"2023-05-13 14:20:00",17,9.66,25.77,42.91,12.24,976,976,0,0,0,0,193,3.97,100
"2023-05-13 14:30:00",18,10.25,25.88,43.01,12.37,976,976,0,0,0,0,221.7,3.718,100
"2023-05-13 14:40:00",19,9.65,26.06,43.14,12.55,976,976,0,0,0,0,298.7,4.382,100
"2023-05-13 14:50:00",20,9.65,26.41,42.61,12.68,976,976,0,0,0,0,304.9,4.638,100
"2023-05-13 15:00:00",21,9.65,26.38,42.42,12.58,976,976,0,0,0,0,203.9,3.811,100
"2023-05-13 15:10:00",22,9.66,26.76,42.41,12.91,975,975,0,0,0,0,193.7,3.791,100
"2023-05-13 15:20:00",23,10.04,26.75,42.65,12.96,975,975,0,0,0,0,89,3.28,100
"2023-05-13 15:30:00",24,9.66,27.08,40.29,12.4,975,975,0,0,0,0,105,4.665,100
"2023-05-13 15:40:00",25,9.65,27.09,38.81,11.87,975,975,0,0,0,0,61.1,5.226,100
"2023-05-13 15:50:00",26,9.65,27.05,38.56,11.73,975,975,0,0,0,0,34.17,4.541,100
"2023-05-13 16:00:00",27,10.25,27,39.6,12.08,975,975,0,0,0,0,80.7,4.77,100
"2023-05-13 16:10:00",28,9.65,26.97,39.6,12.03,975,975,0,0,0,0,149.2,4.334,100
"2023-05-13 16:20:00",29,9.65,26.98,40.22,12.29,975,975,0,0,0,0,34.65,4.012,100
"2023-05-13 16:30:00",30,10.25,26.86,40.9,12.44,975,975,0,0,0,0,79.92,3.87,100
"2023-05-13 16:40:00",31,9.65,26.86,41.36,12.6,975,975,0,0,0,0,77.83,3.657,100
"2023-05-13 16:50:00",32,9.65,26.81,40.69,12.31,975,975,0,0,0,0,175.3,3.502,100
"2023-05-13 17:00:00",33,9.66,26.76,41.14,12.45,975,975,0,0,0,0,38.2,3.842,100
"2023-05-13 17:10:00",34,9.65,26.23,44.99,13.34,975,975,0,0,0,0,46.75,2.643,100
"2023-05-13 17:20:00",35,10.25,26.09,45.05,13.27,975,975,0,0,0,0,37.3,2.953,100
"2023-05-13 17:30:00",36,11.1,25.76,45.42,13.1,975,975,0,0,0,0,39.54,3.626,100
"2023-05-13 17:40:00",37,9.65,25.3,47.1,13.18,975,975,0,0,0,0,48.99,2.522,100
"2023-05-13 17:50:00",38,9.65,24.9,48.07,13.14,975,975,0,0,0,0,45.24,2.85,100
"2023-05-13 18:00:00",39,9.99,24.39,49.5,13.13,975,975,0,0,0,0,49.45,2.484,100
"2023-05-13 18:10:00",40,9.65,23.93,50.87,13.15,975,975,0,0,0,0,49.03,2.394,100
"2023-05-13 18:20:00",41,9.65,23.46,51.99,13.01,975,975,0,0,0,0,50.43,2.105,100
"2023-05-13 18:30:00",42,9.66,22.96,53.24,12.92,975,975,0,0,0,0,47.01,1.718,100
"2023-05-13 18:40:00",43,9.66,22.42,54.7,12.87,975,975,0,0,0,0,48.17,2.011,100
"2023-05-13 18:50:00",44,9.65,22.08,55.44,12.77,976,976,0,0,0,0,42.6,1.722,100
"2023-05-13 19:00:00",45,9.65,21.66,56.82,12.75,976,976,0,0,0,0,33.13,1.584,100
"2023-05-13 19:10:00",46,9.65,21.16,58.73,12.74,976,976,0,0,0,0,47.77,0.88,100
"2023-05-13 19:20:00",47,9.66,20.6,60.49,12.67,976,976,0,0,0,0,55.15,0.814,100
"2023-05-13 19:30:00",48,9.65,20.07,62.39,12.65,976,976,0,0,0,0,62.7,0.671,100
"2023-05-13 19:40:00",49,10.25,19.69,63.67,12.59,976,976,0,0,0,0,46.55,1.025,100
"2023-05-13 19:50:00",50,9.66,19.51,63.91,12.48,976,976,0,0,0,0,40.14,1.485,100
"2023-05-13 20:00:00",51,9.65,19.22,65.07,12.49,976,976,0,0,0,0,27.1,1.798,100
"2023-05-13 20:10:00",52,9.67,19.02,65.09,12.31,976,976,0,0,0,0,39.83,2.211,100
"2023-05-13 20:20:00",53,9.66,18.66,66.09,12.2,976,976,0,0,0,0,18.6,2.347,100
"2023-05-13 20:30:00",54,9.65,18.41,66.94,12.16,976,976,0,0,0,0,20.12,2.835,100
"2023-05-13 20:40:00",55,9.65,18.18,68.01,12.2,976,976,0,0,0,0,19.83,2.537,100
"2023-05-13 20:50:00",56,9.65,17.89,69.15,12.16,976,976,0,0,0,0,24.69,2.315,100
"2023-05-13 21:00:00",57,9.66,17.43,70.84,12.09,977,977,0,0,0,0,19.66,2.359,100
"2023-05-13 21:10:00",58,9.66,17.28,71.75,12.1,977,977,0,0,0,0,23.59,2.559,100
"2023-05-13 21:20:00",59,9.66,17.18,72.16,12.11,977,977,0,0,0,0,23.75,2.779,100
"2023-05-13 21:30:00",60,9.66,17,72.92,12.11,977,977,0,0,0,0,24.41,2.526,100
"2023-05-13 21:40:00",61,9.66,16.74,73.99,12.07,977,977,0,0,0,0,22.6,2.246,100
"2023-05-13 21:50:00",62,10.25,16.58,74.59,12.02,977,977,0,0,0,0,25.79,2.231,100
"2023-05-13 22:00:00",63,9.65,16.44,75.12,12,977,977,0,0,0,0,28.64,2.301,100
"2023-05-13 22:10:00",64,10.01,16.55,74.72,12.05,977,977,0,0,0,0,24.14,2.52,100
"2023-05-13 22:20:00",65,9.66,16.58,74.76,12.09,977,977,0,0,0,0,49.43,2.839,100
"2023-05-13 22:30:00",66,10.25,16.52,75.02,12.07,977,977,0,0,0,0,101.3,2.914,100
"2023-05-13 22:40:00",67,9.65,16.33,75.71,12.02,977,977,0,0,0,0,222.5,3.081,100
"2023-05-13 22:50:00",68,9.65,16.46,74.93,12.01,977,977,0,0,0,0,239.2,3.255,100
"2023-05-13 23:00:00",69,9.65,16.59,74.37,12,977,977,0,0,0,0,217,3.183,100
"2023-05-13 23:10:00",70,9.66,16.65,73.85,11.96,977,977,0,0,0,0,43.02,2.688,100
"2023-05-13 23:20:00",71,9.66,16.59,74.03,11.94,977,977,0,0,0,0,132,2.536,100
"2023-05-13 23:30:00",72,9.65,16.52,74.08,11.89,977,977,0,0,0,0,167.1,2.46,100
"2023-05-13 23:40:00",73,9.66,16.34,74.87,11.85,977,977,0,0,0,0,166.1,2.013,100
"2023-05-13 23:50:00",74,9.65,16.54,73.91,11.88,977,977,0,0,0,0,231.2,2.3,100
"2023-05-14 00:00:00",75,9.66,16.76,72.93,11.88,977,977,0,0,0,0,257.6,2.849,100
"2023-05-14 00:10:00",76,10.04,16.89,72.24,11.87,977,977,0,0,0,0,292,3.456,100
"2023-05-14 00:20:00",77,9.66,17.08,71.57,11.9,977,977,0,0,0,0,243,3.69,100
"2023-05-14 00:30:00",78,9.65,17.07,70.96,11.76,977,977,0,0,0,0,311.1,3.954,100
"2023-05-14 00:40:00",79,9.66,16.82,71.34,11.61,977,977,0,0,0,0,326.2,3.05,100
"2023-05-14 00:50:00",80,9.65,16.47,72.38,11.5,977,977,0,0,0,0,341.9,3.253,100
"2023-05-14 01:00:00",81,9.66,16.09,73.41,11.34,977,977,0,0,0,0,194.4,2.91,100
"2023-05-14 01:10:00",82,9.66,15.63,75.19,11.23,977,977,0,0,0,0,91.9,2.079,100
"2023-05-14 01:20:00",83,9.65,15.13,76.97,11.12,977,977,0,0,0,0,23.98,1.76,100
"2023-05-14 01:30:00",84,9.65,14.78,77.71,10.96,977,977,0,0,0,0,33.58,1.596,100
"2023-05-14 01:40:00",85,9.65,14.49,78.94,10.9,977,977,0,0,0,0,33.94,1.383,100
"2023-05-14 01:50:00",86,11.1,13.98,81,10.77,976,976,0,0,0,0,38.25,1.648,100
"2023-05-14 02:00:00",87,9.67,13.9,81,10.71,976,976,0,0,0,0,27.97,1.893,100
"2023-05-14 02:10:00",88,9.66,13.94,80.2,10.62,976,976,0,0,0,0,219.4,1.952,100
"2023-05-14 02:20:00",89,9.66,14,79.73,10.57,976,976,0,0,0,0,117.4,1.517,100
"2023-05-14 02:30:00",90,10.03,13.81,80.5,10.53,976,976,0,0,0,0,21.78,1.224,100
"2023-05-14 02:40:00",91,9.65,13.49,81.8,10.42,976,976,0,0,0,0,55.88,1.553,100
"2023-05-14 02:50:00",92,10.21,13.23,83,10.38,976,976,0,0,0,0,183.9,1.48,100
"2023-05-14 03:00:00",93,9.66,13.46,82.2,10.46,976,976,0,0,0,0,293.7,2.155,100
"2023-05-14 03:10:00",94,9.67,13.65,81.1,10.46,976,976,0,0,0,0,188.2,2.066,100
"2023-05-14 03:20:00",95,9.66,13.6,80.9,10.4,976,976,0,0,0,0,60.75,2.284,100
"2023-05-14 03:30:00",96,10.25,13.49,81.4,10.35,976,976,0,0,0,0,53.67,1.793,100
"2023-05-14 03:40:00",97,9.65,13.31,82.1,10.32,976,976,0,0,0,0,23.47,1.018,100
"2023-05-14 03:50:00",98,9.65,12.92,83.7,10.24,976,976,0,0,0,0,66.31,0.624,100
"2023-05-14 04:00:00",99,9.67,12.48,85.4,10.12,976,976,0,0,0,0,21.18,0.121,100
"2023-05-14 04:10:00",100,10.25,12.16,88.1,10.27,976,976,0,0,0,0,235,0.909,100
"2023-05-14 04:20:00",101,9.66,12.47,87.7,10.49,976,976,0,0,0,0,160.3,0.62,100
"2023-05-14 04:30:00",102,9.65,12.56,86.1,10.32,976,976,0,0,0,0,50.41,0.264,100
"2023-05-14 04:40:00",103,9.66,12.46,86.3,10.25,976,976,0,0,0,0,109.1,0.385,100
"2023-05-14 04:50:00",104,10.25,12.09,87.8,10.12,976,976,0,0,0,0,139.3,0.599,100
"2023-05-14 05:00:00",105,9.66,11.53,89.7,9.91,976,976,0,0,0,0,103.5,0.232,100
"2023-05-14 05:10:00",106,9.66,11.19,92,9.93,976,976,0,0,0,0,98.8,0.344,100
"2023-05-14 05:20:00",107,9.66,11.03,93,9.95,976,976,0,0,0,0,40.17,0.354,100
"2023-05-14 05:30:00",108,9.66,10.86,94.1,9.94,976,976,0,0,0,0,77.75,0.162,100
"2023-05-14 05:40:00",109,9.66,10.55,94.8,9.75,976,976,0,0,0,0,135.1,0.234,100
"2023-05-14 05:50:00",110,9.66,10.27,94.6,9.43,976,976,0,0,0,0,119.4,0.21,100
"2023-05-14 06:00:00",111,9.65,10.09,94.3,9.2,976,976,0,0,0,0,118.5,0.204,100
"2023-05-14 06:10:00",112,9.65,9.91,94.6,9.07,976,976,0,0,0,0,237.6,0.375,100
"2023-05-14 06:20:00",113,9.66,9.79,94.1,8.9,976,976,0,0,0,0,175.7,0.29,100
"2023-05-14 06:30:00",114,9.66,9.62,94.1,8.75,976,976,0,0,0,0,145.1,0.364,100
"2023-05-14 06:40:00",115,9.67,9.51,94,8.61,976,976,0,0,0,0,84.9,0.119,100
"2023-05-14 06:50:00",116,9.65,9.27,94.4,8.43,976,976,0,0,0,0,92.6,0.128,100
"2023-05-14 07:00:00",117,9.66,9.2,94.8,8.42,976,976,0,0,0,0,59.84,0.117,100
"2023-05-14 07:10:00",118,9.67,9.13,95,8.4,976,976,0,0,0,0,95.9,0.161,100
"2023-05-14 07:20:00",119,10.04,9.01,95.1,8.29,976,976,0,0,0,0,107.9,0.18,100
"2023-05-14 07:30:00",120,9.66,8.9,95,8.18,976,976,0,0,0,0,24.18,0.03,100
"2023-05-14 07:40:00",121,9.66,8.84,94.9,8.05,976,976,0,0,0,0,32.83,0.092,100
"2023-05-14 07:50:00",122,9.66,8.8,94.9,7.993,977,977,0,0,0,0,130.2,0.494,100
